channel,mean,variance,std
0,438.3720786973004,368481.5974843407,607.0268507111862
1,614.0556564283909,363967.07525749237,603.2968384282254
2,588.4095835645511,468634.5479833522,684.5688774574493
3,2193.29193669573,1875179.0169321352,1369.3717599440026
4,942.8772505496092,528303.4235999027,726.8448414895043
5,1769.9653882432308,1179901.9213530119,1086.2329038254236
6,2049.5854642140303,1587654.7980737044,1260.0217450797047
7,2235.590387218808,1798507.258371224,1341.0843591553903
8,1568.260577980175,1130461.3015110588,1063.2315371127113
9,997.7666693236273,649888.7742469328,806.1567925949224
